WKT,Id
"MULTIPOLYGON (((-29757.497255305 228791.487574564,-29757.497255305 228782.470819142,-29758.4215240839 228782.450279836,-29758.4420633901 228780.519585053,-29765.5281240287 228780.437427829,-29765.5281240287 228782.491358449,-29766.5140107263 228782.470819142,-29766.4934714201 228783.518323759,-29768.5268627338 228783.477245146,-29768.4857841214 228790.460609254,-29766.4729321139 228790.501687866,-29766.4934714201 228791.50811387,-29757.497255305 228791.487574564)))",mamoa
"MULTIPOLYGON (((-28527.4940571473 229060.538792899,-28527.4392856641 229058.567019504,-28525.467512269 229058.539633762,-28525.3853550442 229057.526361323,-28526.4260132249 229057.498975581,-28526.4260132249 229055.499816445,-28527.4940571473 229055.499816445,-28527.4940571473 229050.515611474,-28528.5073295864 229050.460839991,-28528.4525581032 229048.543838079,-28538.5031252699 229048.543838079,-28538.5305110115 229050.488225732,-28539.4890119674 229050.460839991,-28539.4890119674 229053.52804305,-28538.5031252699 229053.500657308,-28538.5031252699 229056.458317401,-28537.5172385723 229056.540474625,-28537.4624670891 229059.52552046,-28535.4633079524 229059.52552046,-28535.5180794356 229060.56617864,-28534.4774212549 229060.538792899,-28534.4774212549 229061.497293855,-28529.493216284 229061.524679596,-28529.493216284 229060.538792899,-28527.4940571473 229060.538792899)))",mamoa
"MULTIPOLYGON (((-27089.4687658056 228715.505834498,-27089.4276871932 228714.492562059,-27088.4418004957 228714.465176317,-27088.4691862373 228713.561446845,-27087.4559137981 228713.506675362,-27087.4285280565 228712.548174406,-27085.4567546614 228712.548174405,-27085.5115261446 228711.534901966,-27084.4982537055 228711.507516225,-27084.4982537055 228710.521629527,-27083.5123670079 228710.494243786,-27083.4575955247 228709.508357088,-27081.5679793544 228709.563128571,-27081.5542864836 228710.494243786,-27080.4588568197 228710.439472302,-27080.4862425613 228707.509197951,-27079.4729701222 228707.454426468,-27079.4729701222 228706.523311254,-27080.4588568197 228706.550696995,-27080.5410140445 228705.482653073,-27080.4862425613 228695.541628873,-27080.4588568197 228694.555742175,-27081.4995150005 228694.418813467,-27081.526900742 228693.460312511,-27089.4961515472 228693.542469736,-27089.5509230304 228694.528356434,-27093.4944698206 228694.528356434,-27093.5218555622 228695.48685739,-27095.5484004405 228695.514243131,-27095.5210146989 228696.472744087,-27096.5616728797 228696.52751557,-27096.5069013965 228697.458630785,-27098.5334462748 228697.568173751,-27098.5334462748 228698.417131741,-27099.5467187139 228698.526674707,-27099.5193329723 228699.512561405,-27100.5052196699 228699.567332888,-27100.5052196699 228700.498448102,-27101.5458778506 228700.498448102,-27101.4089491426 228704.496766376,-27102.5043788065 228704.496766376,-27102.4769930649 228705.482653073,-27104.5035379432 228705.482653073,-27104.5309236848 228707.48181221,-27103.4628797625 228707.48181221,-27103.4354940209 228708.440313166,-27102.5043788065 228708.522470391,-27102.4769930649 228709.480971346,-27101.4363348842 228709.480971346,-27101.4089491426 228710.412086561,-27098.5060605332 228710.57640101,-27098.4786747916 228712.493402922,-27096.5342871381 228712.438631439,-27096.5342871381 228713.47928962,-27095.5210146989 228713.451903878,-27095.5210146989 228714.492562059,-27094.5077422598 228714.519947801,-27094.5077422598 228715.505834498,-27089.4687658056 228715.505834498)))",mamoa
"MULTIPOLYGON (((-27287.5156026117 229142.449546021,-27287.5566812242 229143.486780984,-27288.5220286155 229143.548398903,-27288.5631072279 229144.513746294,-27289.5695332317 229144.493206988,-27289.5900725379 229145.499632992,-27290.534880623 229145.540711604,-27290.534880623 229153.530501716,-27288.5220286155 229153.530501716,-27288.5014893093 229154.516388413,-27284.5168639067 229154.516388413,-27284.5168639067 229155.481735804,-27283.5104379029 229155.522814417,-27283.5309772091 229156.488161808,-27281.5181252016 229156.570319033,-27281.5386645078 229155.543353723,-27280.4911598917 229155.522814417,-27280.4911598917 229153.571580328,-27276.4859951829 229153.540771369,-27276.5270737953 229148.549719962,-27278.5193864966 229148.50864135,-27278.4372292718 229147.48167604,-27279.4847338879 229147.48167604,-27279.4025766631 229144.482937335,-27280.4911598917 229144.462398029,-27280.4090026669 229143.476511331,-27283.4693592905 229143.476511331,-27283.4282806781 229142.490624634,-27287.5156026117 229142.449546021)))",mamoa
"MULTIPOLYGON (((-27252.5166248486 229185.489662161,-27252.5268945017 229183.435731541,-27250.4832335348 229183.435731541,-27250.4626942287 229180.457532143,-27248.4703815273 229180.539689367,-27248.4498422211 229178.444680135,-27249.4357289187 229178.485758747,-27249.5178861435 229176.452367434,-27247.5255734422 229176.47290674,-27247.4844948298 229173.474168035,-27249.4562682249 229173.494707341,-27249.4768075311 229172.52935995,-27252.4344676238 229172.549899256,-27253.4819722399 229172.52935995,-27253.4614329337 229171.481855334,-27255.4742849412 229171.461316027,-27255.5153635536 229169.489542632,-27257.5487548673 229169.530621245,-27257.5692941735 229170.454890024,-27260.5474935724 229170.47542933,-27260.5269542662 229173.494707341,-27263.5051536651 229173.535785953,-27263.5051536651 229177.49987205,-27265.5180056726 229177.479332744,-27265.4769270602 229180.478071449,-27264.5115796688 229180.457532142,-27264.4705010564 229182.511462762,-27262.4781883551 229182.490923456,-27262.5603455799 229184.503775464,-27260.50641496 229184.544854076,-27260.50641496 229185.469122855,-27258.5346415649 229185.489662161,-27258.4730236463 229186.496088165,-27256.4601716388 229186.537166777,-27256.4601716388 229185.55128008,-27252.5166248486 229185.489662161)))",mamoa
"MULTIPOLYGON (((-27303.4849131815 229213.484736511,-27303.4643738753 229211.512963116,-27302.4784871778 229211.430805891,-27302.4579478716 229210.506537112,-27301.472061174 229210.485997806,-27301.4309825616 229206.480833097,-27302.4168692592 229206.460293791,-27302.4784871778 229204.529599008,-27305.4772258828 229204.467981089,-27305.4566865766 229203.502633698,-27306.5041911928 229203.441015779,-27306.4836518866 229202.516747,-27311.4952425992 229202.475668388,-27311.5157819054 229203.502633698,-27313.5080946067 229203.482094392,-27313.5080946067 229204.529599008,-27314.5350599166 229204.529599008,-27314.4939813042 229209.459032496,-27312.5427472153 229209.520650414,-27312.5427472153 229211.492423809,-27311.5157819054 229211.533502422,-27311.5157819054 229213.505275817,-27303.4849131815 229213.484736511)))",mamoa
"MULTIPOLYGON (((-28255.4868903346 229730.479612847,-28254.4547901981 229730.464208368,-28254.4547901981 229731.480904025,-28252.483016803 229731.542521943,-28252.483016803 229729.570748548,-28251.4047032275 229729.570748548,-28251.4663211461 229728.430817054,-28250.4496254892 229728.554052891,-28250.4804344485 229727.537357234,-28249.4329298324 229727.506548275,-28249.4637387917 229726.489852618,-28248.4778520941 229726.459043659,-28248.4470431348 229725.53477488,-28247.430347478 229725.53477488,-28247.4611564373 229722.392261032,-28248.4470431348 229722.45387895,-28248.4162341755 229720.451296596,-28250.4188165299 229720.389678677,-28250.4496254892 229717.462827544,-28254.4855991574 229717.462827544,-28254.4547901981 229716.538558765,-28261.5408508367 229716.476940846,-28261.4792329181 229717.555254422,-28262.5267375343 229717.555254422,-28262.5267375343 229719.465409898,-28263.4972197522 229719.465409898,-28263.4972197522 229720.435892116,-28264.5447243683 229720.435892116,-28264.5447243683 229728.477030493,-28263.4664107929 229728.569457371,-28263.5280287115 229729.524535109,-28262.4805240953 229729.555344069,-28262.5113330546 229730.510421807,-28261.4638284385 229730.479612847,-28261.617873235 229731.403881626,-28258.5061683458 229731.496308504,-28258.5061683458 229730.541230766,-28255.4868903346 229730.479612847)))",mamoa
"MULTIPOLYGON (((-28228.4828375093 229782.469731664,-28228.5136464686 229771.501742154,-28229.4995331662 229771.501742154,-28229.4379152476 229770.485046497,-28228.4212195907 229770.546664415,-28228.5136464686 229768.605699979,-28230.4238019452 229768.482464142,-28230.4854198638 229767.558195363,-28242.5009139902 229767.558195363,-28242.5317229495 229769.46835084,-28243.5484186064 229769.499159799,-28243.5176096471 229772.333584055,-28245.5201920015 229772.487628851,-28245.4893830422 229779.57368949,-28244.5034963446 229779.604498449,-28244.5651142632 229781.576271844,-28243.4868006878 229781.545462885,-28243.4559917285 229782.500540623,-28241.545836252 229782.592967501,-28241.545836252 229783.424809402,-28237.5098625838 229783.578854199,-28237.5098625838 229782.531349582,-28228.4828375093 229782.469731664)))",mamoa
"MULTIPOLYGON (((-26683.4751466036 230358.50484367,-26682.3660240688 230358.50484367,-26682.3660240688 230356.471452356,-26679.4699818948 230356.440643397,-26679.4083639762 230350.371278415,-26680.3634417144 230350.402087374,-26680.4866775516 230347.536854159,-26681.4725642492 230347.5060452,-26681.4725642492 230346.396922665,-26682.4584509467 230346.427731625,-26682.3968330281 230345.441844927,-26686.4019977369 230345.349418049,-26686.4328066962 230344.394340311,-26688.4970069692 230344.363531352,-26688.5586248878 230345.472653886,-26690.530398283 230345.441844927,-26690.530398283 230347.475236241,-26691.4546670619 230347.475236241,-26691.4854760212 230352.466287647,-26692.5021716781 230352.435478688,-26692.5021716781 230354.53048792,-26691.4854760212 230354.53048792,-26691.5470939398 230355.516374618,-26690.4379714051 230355.42394774,-26690.4379714051 230357.457339053,-26688.5278159285 230357.61138385,-26688.4970069692 230358.47403471,-26683.4751466036 230358.50484367)))",mamoa
"MULTIPOLYGON (((-28298.4961975154 230733.480687293,-28300.4679709105 230733.511496252,-28300.4371619512 230732.433182677,-28301.3614307302 230732.463991636,-28301.5154755267 230731.508913898,-28306.5373358923 230731.508913898,-28306.4449090144 230732.463991636,-28307.4616046713 230732.525609555,-28307.4616046713 230734.49738295,-28308.5399182467 230734.49738295,-28308.570727206 230737.362616164,-28311.5283872987 230737.455043042,-28311.5900052173 230738.44092974,-28310.4808826826 230738.564165577,-28310.4808826826 230739.550052275,-28309.5258049443 230739.550052275,-28309.5258049443 230742.476903408,-28306.5373358923 230742.538521327,-28306.5681448516 230746.605303954,-28305.4898312762 230746.605303954,-28305.4898312762 230747.437145855,-28304.4731356193 230747.467954814,-28304.4731356193 230744.6027216,-28302.5321711835 230744.510294722,-28302.6245980614 230745.46537246,-28300.4679709105 230745.403754541,-28300.4371619512 230744.57191264,-28298.4653885561 230744.479485762,-28298.4961975154 230733.480687293)))",mamoa
