WKT,Id
"MULTIPOLYGON (((-37417.4868069879 216451.474759621,-37420.5795716943 216451.501889136,-37420.4981831494 216450.688003687,-37425.5714024483 216450.498097082,-37425.5171434184 216449.494305028,-37427.4433389811 216449.521434543,-37427.497598011 216441.518227627,-37422.505767257 216441.518227627,-37422.478637742 216442.386372106,-37419.5215206105 216442.549149196,-37419.4943910955 216444.502474274,-37418.5177285567 216444.502474274,-37418.4634695268 216445.424877783,-37417.5139365029 216445.452007298,-37417.459677473 216446.428669837,-37416.591532994 216446.428669837,-37416.4287559042 216449.494305028,-37417.432547958 216449.521434543,-37417.4868069879 216451.474759621)))",mamoa
"MULTIPOLYGON (((-37382.4626031645 216347.487328749,-37384.4701872722 216347.541587779,-37384.5244463021 216346.61918427,-37385.5553678709 216346.45640718,-37385.473979326 216345.588262701,-37388.5667440323 216345.561133186,-37388.4039669425 216344.503082103,-37392.3920056428 216344.421693558,-37392.5547827325 216338.58884784,-37393.5043157564 216338.53458881,-37393.5314452714 216336.418486642,-37392.5547827325 216336.527004702,-37392.5276532176 216333.542758056,-37393.4771862414 216333.461369511,-37393.4771862414 216332.457577457,-37394.5081078102 216332.484706972,-37394.4538487803 216330.449993349,-37393.5585747863 216330.585640924,-37393.5314452714 216329.500460325,-37389.4348885112 216329.500460325,-37389.4348885112 216330.504252379,-37385.5824973858 216330.531381894,-37385.5282383559 216329.58184887,-37383.5749132782 216329.500460325,-37383.5206542483 216332.457577457,-37382.4897326795 216332.511836487,-37382.4354736496 216333.461369511,-37381.3774225658 216333.515628541,-37381.2960340209 216334.43803205,-37378.4203054343 216334.465161565,-37378.4203054343 216335.523212648,-37376.4127213267 216335.496083133,-37376.4127213267 216338.58884784,-37377.4165133805 216338.48032978,-37377.4165133805 216340.487913887,-37378.3389168894 216340.487913887,-37378.3931759194 216341.464576426,-37379.4512270031 216341.573094486,-37379.532615548 216343.417901504,-37380.400760027 216343.526419564,-37380.4278895419 216344.503082103,-37381.4588111107 216344.638729678,-37381.4316815957 216347.460199234,-37382.4626031645 216347.487328749)))",mamoa
"MULTIPOLYGON (((-37201.4476969208 216317.468520437,-37203.4620634071 216317.488867573,-37203.4417162709 216316.471510762,-37205.4967770297 216316.471510762,-37205.4560827573 216315.51519536,-37206.5751752497 216315.596583904,-37206.514133841 216314.538532821,-37207.4704492436 216314.477491412,-37207.4704492436 216313.541523146,-37208.4674589187 216313.439787465,-37208.4878060549 216309.472095901,-37207.5314906523 216309.472095901,-37207.5111435161 216307.498423687,-37206.5548281135 216307.437382278,-37206.4937867048 216306.481066875,-37201.5290854657 216306.501414012,-37201.4273497845 216307.47807655,-37199.5350661155 216307.498423687,-37199.5554132518 216308.454739089,-37198.4770150318 216308.475086225,-37198.4566678956 216309.472095901,-37196.4829956817 216309.492443037,-37196.5033428179 216312.483472062,-37197.4800053567 216312.524166334,-37197.4393110843 216313.521176009,-37198.4363207593 216313.500828873,-37198.4159736231 216315.372765406,-37201.4070026483 216315.555889632,-37201.4476969208 216317.468520437)))",mamoa
"MULTIPOLYGON (((-37114.4229952829 216343.523028374,-37123.5486858802 216343.553549079,-37123.4571237671 216342.698969357,-37125.4409695492 216342.515845131,-37125.5020109578 216341.447620479,-37127.3942946268 216341.386579071,-37127.4553360355 216339.494295402,-37128.5235606874 216339.494295402,-37128.5235606874 216337.479928915,-37127.3942946268 216337.479928915,-37127.5163774442 216335.557124542,-37126.5397149054 216335.526603838,-37126.4786734967 216332.627136926,-37125.5935730709 216332.535574813,-37125.4409695492 216331.406308752,-37124.525348419 216331.436829456,-37124.4643070103 216330.460166917,-37123.4571237672 216330.429646213,-37123.4571237672 216329.483504379,-37121.5953608025 216329.575066492,-37121.4732779851 216327.438617188,-37111.4777473142 216327.484398244,-37111.4472266098 216328.430540079,-37110.5316054797 216328.552622896,-37110.4400433667 216330.383865157,-37109.4023394192 216330.444906565,-37109.3107773061 216331.482610513,-37108.486718289 216331.574172626,-37108.395156176 216332.367710939,-37106.411310394 216332.428752347,-37106.4723518026 216334.443118834,-37105.4956892638 216334.321036016,-37105.4651685595 216337.434147859,-37106.3807896896 216337.464668563,-37106.3807896896 216338.563413919,-37107.5100557502 216338.654976032,-37107.5100557502 216340.39465618,-37110.379001958 216340.516738997,-37110.5010847754 216342.561626188,-37114.4077349307 216342.500584779,-37114.4229952829 216343.523028374)))",mamoa
"MULTIPOLYGON (((-37115.4835897586 216394.469714092,-37118.5051394882 216394.538385676,-37118.5051394882 216393.531202433,-37120.5423965028 216393.462530848,-37120.473724918 216392.478238134,-37125.5325316621 216392.432457077,-37125.4867506056 216388.609738859,-37124.5482389472 216388.541067274,-37124.433786306 216386.595372372,-37125.5554221904 216386.503810259,-37125.5325316621 216385.565298601,-37126.5397149053 216385.473736488,-37126.5168243771 216383.436479473,-37125.5096411339 216383.528041586,-37125.5096411339 216381.399222459,-37120.565287031 216381.467894043,-37120.473724918 216378.515015899,-37118.3677963187 216378.49212537,-37118.4364679034 216379.499308613,-37117.4750657167 216379.499308613,-37117.4750657167 216380.437820272,-37112.4162589726 216380.437820272,-37112.3933684444 216381.422112987,-37111.4548567859 216381.490784572,-37111.4548567859 216390.509652704,-37112.3704779161 216390.463871647,-37112.3933684444 216391.516835947,-37111.4548567859 216391.402383306,-37111.4663020501 216393.508311905,-37115.3805823815 216393.473976112,-37115.4835897586 216394.469714092)))",mamoa
"MULTIPOLYGON (((-35629.4991670888 217647.485785455,-35631.4563072545 217647.520121248,-35631.5249788393 217646.627390646,-35636.4006613574 217646.490047476,-35636.5723403193 217644.67025048,-35639.4565468793 217644.498571518,-35639.3878752946 217643.537169332,-35640.4866206508 217643.468497747,-35640.417949066 217642.472759768,-35642.4437608165 217642.50709556,-35642.581103986 217639.554217415,-35640.4522848584 217639.451210038,-35640.4522848584 217638.524143644,-35639.5252184641 217638.489807852,-35639.4565468794 217636.395324516,-35637.533742506 217636.429660309,-35637.533742506 217634.57552752,-35635.5422665479 217634.438184351,-35635.4392591708 217636.292317139,-35632.4177094412 217636.429660309,-35632.486381026 217635.502593914,-35628.4690933174 217635.571265499,-35628.4690933174 217643.434161954,-35629.4304955041 217643.537169332,-35629.4991670888 217647.485785455)))",mamoa
"MULTIPOLYGON (((-41118.5562803032 220860.423221726,-41121.4061510708 220860.457557518,-41121.4748226556 220859.530491124,-41123.3632912366 220859.599162708,-41123.3976270289 220860.49189331,-41124.4277008004 220860.560564895,-41124.3590292156 220861.453295497,-41127.4149147375 220861.556302874,-41127.6209294918 220862.517705061,-41128.5823316785 220862.517705061,-41128.4793243013 220863.582114625,-41130.4708002594 220863.616450417,-41130.5051360518 220864.474845227,-41131.3978666537 220864.577852604,-41131.603881408 220867.359051787,-41136.4795639261 220867.530730748,-41136.6169070957 220865.53925479,-41137.54397349 220865.573590583,-41137.5096376976 220868.42346135,-41138.539711469 220868.595140312,-41138.5740472614 220871.479346872,-41141.5269254062 220871.44501108,-41141.4582538214 220870.414937308,-41142.4883275928 220870.449273101,-41142.5226633852 220868.595140312,-41143.4840655719 220868.492132935,-41143.4497297795 220864.509181019,-41142.4883275928 220864.509181019,-41142.5226633852 220862.620712438,-41143.5184013643 220862.552040853,-41143.5184013643 220861.624974459,-41145.6128846995 220861.521967082,-41145.5098773224 220858.706432107,-41147.63869645 220858.569088937,-41147.5013532805 220855.547539208,-41146.5742868862 220855.410196038,-41146.5742868862 220853.521727457,-41145.4412057376 220853.41872008,-41145.5442131148 220851.530251499,-41144.5484751357 220851.530251499,-41144.5828109281 220850.568849312,-41146.471279509 220850.39717035,-41146.5399510938 220847.65030696,-41145.4412057376 220847.581635375,-41145.5442131148 220846.482890019,-41143.4497297795 220846.311211057,-41143.4840655719 220840.474126352,-41140.4968516347 220840.577133729,-41140.42818005 220841.435528539,-41138.5740472614 220841.332521162,-41138.4367040919 220839.478388373,-41137.4409661128 220839.650067335,-41137.372294528 220838.413978809,-41138.4367040919 220838.448314601,-41138.5053756766 220836.456838643,-41134.5224237604 220836.456838643,-41134.5224237604 220838.482650394,-41135.3464827775 220838.516986186,-41135.4151543623 220841.366856954,-41131.6382172004 220841.538535916,-41131.5352098233 220842.362594933,-41129.440726488 220842.499938102,-41129.6124054499 220841.538535916,-41130.5394718442 220841.504200123,-41130.4021286747 220839.409716788,-41128.3419811318 220839.512724165,-41128.3419811318 220840.371118975,-41126.4878483432 220840.542797937,-41126.4191767585 220842.431266518,-41128.5136600937 220842.499938102,-41128.5136600937 220845.418480455,-41127.4149147375 220845.418480455,-41127.4149147375 220844.422742476,-41123.5006344061 220844.62875723,-41123.3289554442 220847.37562062,-41122.5392322194 220847.615971167,-41122.504896427 220849.435768163,-41126.3848409661 220849.504439748,-41126.3848409661 220852.422982101,-41125.4921103642 220852.525989478,-41125.5264461566 220854.242779097,-41120.4790846765 220854.517465436,-41120.4447488842 220856.474605601,-41119.4146751127 220856.474605601,-41119.3803393203 220857.539015165,-41118.5219445108 220857.504679373,-41118.5562803032 220860.423221726)))",mamoa
"MULTIPOLYGON (((-37668.4872779008 221542.48656948,-37673.5603912251 221542.538073168,-37673.4316320037 221541.58525493,-37677.5261752451 221541.482247553,-37677.5519270894 221539.550859231,-37679.4318117223 221539.499355543,-37679.5090672551 221532.417598364,-37678.5304971723 221532.494853897,-37678.5304971723 221528.4260625,-37677.4746715565 221528.529069877,-37677.5261752451 221527.473244261,-37676.4961014737 221527.473244261,-37676.4961014737 221526.468922334,-37674.5389613079 221526.468922334,-37674.4359539308 221524.511782168,-37673.5346393808 221524.537534013,-37673.5088875365 221523.533212086,-37672.478813765 221523.55896393,-37672.478813765 221521.524568231,-37670.495921755 221521.601823764,-37670.495921755 221523.481708397,-37669.4915998279 221523.533212086,-37669.4658479836 221524.537534013,-37668.4615260565 221524.537534013,-37668.4100223679 221525.464600407,-37665.448560275 221525.464600407,-37665.4228084307 221526.494674179,-37663.5429237979 221526.546177867,-37663.465668265 221527.421740573,-37662.5128500264 221527.498996106,-37662.3583389607 221529.430384427,-37661.5857836321 221529.584895493,-37661.4312725664 221530.434706354,-37660.4784543278 221530.511961887,-37660.4784543278 221531.413276437,-37659.4741324007 221531.49053197,-37659.3711250236 221532.494853897,-37658.3668030964 221532.520605741,-37658.3925549407 221534.451994063,-37659.3711250236 221534.451994063,-37659.4226287121 221536.434886073,-37660.401198795 221536.486389761,-37660.401198795 221537.516463533,-37662.3583389607 221537.567967221,-37662.4355944936 221538.495033616,-37663.4914201093 221538.52078546,-37663.465668265 221539.447851854,-37664.2897272822 221539.525107387,-37664.4442383479 221540.529429314,-37666.349874825 221540.50367747,-37666.3241229807 221541.456495709,-37667.5602115065 221541.482247553,-37667.431452285 221542.409313947,-37668.4872779008 221542.48656948)))",mamoa
"MULTIPOLYGON (((-38148.527407233 223178.449733271,-38158.4676191273 223178.269470361,-38158.5963783487 223174.535452939,-38157.540552733 223174.509701095,-38157.4375453559 223173.505379168,-38156.5104789616 223173.505379168,-38156.5362308058 223170.569668919,-38159.4976928987 223170.466661542,-38159.523444743 223169.488091459,-38160.4762629816 223169.436587771,-38160.4762629816 223167.505199449,-38159.5491965873 223167.505199449,-38159.5491965873 223166.526629366,-38157.4890490444 223166.552381211,-38157.4632972001 223164.389226291,-38151.4631174815 223164.517985512,-38151.4631174815 223166.475125678,-38149.3772180944 223166.500877522,-38149.3772180944 223167.453695761,-38148.4243998558 223167.530951293,-38148.3986480115 223168.458017688,-38146.4930115343 223168.432265843,-38146.4415078458 223169.385084082,-38145.5144414515 223169.385084082,-38145.4371859186 223170.466661542,-38144.4586158358 223170.440909698,-38144.4328639915 223174.483949251,-38145.3599303858 223174.509701095,-38145.3599303858 223175.436767489,-38146.3900041572 223175.462519333,-38146.3900041572 223176.518344949,-38147.3170705515 223176.518344949,-38147.4200779286 223178.501236959,-38148.527407233 223178.449733271)))",mamoa
"MULTIPOLYGON (((-36839.4839066511 226614.441060797,-36844.5312681311 226614.492564485,-36844.4797644425 226613.565498091,-36845.4068308368 226613.513994402,-36845.4325826811 226612.638431697,-36848.574307684 226612.509672475,-36848.5228039954 226609.599714071,-36849.5271259225 226609.47095485,-36849.5528777668 226607.539566528,-36848.4455484625 226607.436559151,-36848.5485558397 226605.530922674,-36849.5013740783 226605.479418985,-36849.5786296111 226603.419271442,-36847.5699857568 226603.522278819,-36847.5184820682 226602.389197671,-36846.4626564525 226602.543708737,-36846.5141601411 226601.436379432,-36844.4540125982 226601.513634965,-36844.5312681311 226600.432057505,-36838.4795847239 226600.535064882,-36838.5053365682 226601.513634965,-36836.5224445582 226601.539386809,-36836.4451890253 226602.440701359,-36835.4408670982 226602.492205048,-36835.4794948646 226604.500848902,-36836.419437181 226604.513724824,-36836.3679334924 226606.445113146,-36835.3893634096 226606.522368679,-36835.4666189424 226611.415219093,-36837.4237591082 226611.389467249,-36837.4752627967 226612.41954102,-36838.5310884125 226612.41954102,-36838.4795847239 226613.449614792,-36839.483906651 226613.475366636,-36839.4839066511 226614.441060797)))",mamoa
