WKT,Id
"MULTIPOLYGON (((3602.44324541524 262815.445557472,3600.45634089168 262815.445557472,3600.49773473592 262816.480403578,3597.64155948331 262816.439009733,3597.64155948331 262817.556643528,3593.58496274772 262817.432461995,3593.54356890348 262815.569739004,3591.59805822417 262815.23858825,3591.51527053568 262814.327923677,3590.60460596239 262814.327923677,3590.56321211815 262812.465200686,3589.44557832365 262812.423806842,3589.44557832365 262807.497939377,3590.39763674119 262807.497939377,3590.48042442967 262806.380305583,3592.26035973202 262806.54588096,3592.50872279746 262804.434794904,3593.54356890348 262804.434794904,3593.6677504362 262801.330256585,3595.40629189431 262801.37165043,3595.53047342704 262800.295410479,3596.44113800033 262800.336804324,3596.60671337729 262799.42613975,3604.71990684848 262799.508927439,3604.55433147151 262801.620013495,3607.36911287988 262801.702801184,3607.57608210109 262804.60037028,3608.4039589859 262804.434794904,3608.56953436287 262808.325816262,3607.57608210109 262808.532785483,3607.57608210109 262810.436902318,3606.74820521627 262810.436902318,3606.54123599507 262814.203742144,3602.48463925948 262814.410711366,3602.44324541524 262815.445557472)))",mamoa
"MULTIPOLYGON (((3463.62898875395 262618.431555808,3451.50059239142 262618.390161964,3451.5833800799 262617.562285079,3450.50714012964 262617.438103546,3450.4657462854 262616.444651284,3449.47229402362 262616.40325744,3449.47229402362 262615.575380555,3448.60302329457 262615.575380555,3448.52023560608 262612.470842237,3447.48538950007 262612.388054549,3447.52678334431 262607.379399396,3448.39605407336 262607.462187084,3448.68581098305 262604.523224143,3452.41125696471 262604.39904261,3452.4940446532 262602.453531931,3460.35887505893 262602.453531931,3460.56584428014 262605.061344118,3461.51790269767 262605.309707184,3461.6420842304 262606.34455329,3465.57449943327 262606.427340978,3465.61589327751 262615.492592867,3463.79456413091 262615.616774399,3463.62898875395 262618.431555808)))",mamoa
"MULTIPOLYGON (((3399.4478332587 262515.578201331,3393.39398353849 262515.422974415,3393.45607430485 262513.560251424,3391.43812439812 262513.467115275,3391.40707901494 262511.604392284,3390.47571751952 262511.542301517,3390.53780828588 262510.486758489,3391.43812439812 262510.548849256,3391.40707901494 262509.524351611,3390.44467213634 262509.493306227,3390.41362675316 262505.457406414,3392.30739512717 262505.364270264,3392.40053127672 262504.494999535,3393.45607430485 262504.526044919,3393.45607430485 262503.501547274,3394.51161733299 262503.439456507,3394.54266271617 262502.414958862,3401.62101008134 262502.632276545,3401.58996469816 262503.532592657,3404.47718533395 262503.501547274,3404.63241224985 262505.426361031,3406.65036215659 262505.550542563,3406.61931677341 262506.481904059,3407.581723652 262506.481904059,3407.51963288564 262508.437763199,3405.68795527799 262508.592990115,3405.56377374527 262511.511256134,3404.63241224985 262511.387074601,3404.60136686667 262512.504708396,3403.63895998807 262512.504708396,3403.51477845535 262514.553703686,3399.66515094096 262514.553703686,3399.4478332587 262515.578201331)))",mamoa
"MULTIPOLYGON (((4216.59336395387 262102.426241964,4208.5526097101 262102.519378114,4208.61470047647 262100.62560974,4204.54775527981 262100.53247359,4204.54775527981 262098.545569066,4203.49221225167 262098.452432917,4203.55430301804 262088.517910299,4206.44152365383 262088.455819533,4206.47256903701 262086.531005776,4217.52472544928 262086.437869626,4217.43158929974 262087.462367271,4218.54922309424 262087.493412654,4218.58026847742 262088.517910299,4219.63581150556 262088.42477415,4219.5737207392 262091.560357851,4220.59821838416 262091.467221701,4220.56717300098 262096.52761916,4219.54267535602 262096.52761916,4219.51162997284 262097.552116805,4218.42504156152 262097.552116805,4218.48713232788 262101.370698936,4216.62440933705 262101.494880469,4216.59336395387 262102.426241964)))",mamoa
"MULTIPOLYGON (((-13908.6016529646 242451.443777871,-13912.5133712454 242451.443777871,-13912.3891897126 242449.550009497,-13913.6310050399 242449.456873348,-13913.5068235071 242448.618648002,-13914.5313211521 242448.556557236,-13914.5313211521 242447.407878058,-13915.369546498 242447.438923441,-13915.4316372643 242445.514109684,-13914.5002757689 242445.452018918,-13914.4071396194 242442.626889048,-13912.5754620117 242442.502707515,-13912.4823258622 242441.540300637,-13907.6082007028 242441.57134602,-13907.5150645533 242442.564798282,-13906.3974307588 242442.533752899,-13906.3974307588 242443.465114394,-13904.4726170016 242443.434069011,-13904.534707768 242448.463421086,-13905.4660692634 242448.370284937,-13905.4971146465 242450.35718946,-13908.3532898992 242450.512416376,-13908.6016529646 242451.443777871)))",mamoa
"MULTIPOLYGON (((-13863.4306204369 245409.494455389,-13867.5286110167 245409.463410005,-13867.4665202504 245408.53204851,-13868.4599725121 245408.53204851,-13868.5220632785 245407.507550865,-13869.4223793907 245407.538596248,-13869.4223793907 245406.545143987,-13869.5155155403 245399.590978154,-13867.4665202504 245399.497842005,-13867.5596563999 245398.504389743,-13861.4437159133 245398.411253593,-13861.4126705302 245399.435751238,-13859.487856773 245399.466796621,-13859.4568113898 245400.273976584,-13857.5940883989 245400.460248883,-13857.6251337821 245402.416108023,-13858.3081322121 245402.47819879,-13858.5875406607 245403.471651052,-13860.3260821188 245403.595832584,-13860.2639913525 245405.551691725,-13859.3947206234 245405.551691725,-13859.4257660066 245408.43891236,-13863.275393521 245408.469957744,-13863.4306204369 245409.494455389)))",mamoa
"MULTIPOLYGON (((-13054.496593593 252788.438743199,-13057.5468024905 252788.485311274,-13057.5235184531 252789.533092956,-13059.5026616308 252789.533092956,-13059.5026616308 252788.555163386,-13060.5271592758 252788.508595311,-13060.5038752384 252787.553949778,-13062.4830184162 252787.530665741,-13062.4597343788 252786.576020208,-13066.5111568838 252786.436315984,-13066.4645888091 252782.408177516,-13064.5785817809 252782.478029628,-13064.4621615939 252781.406963909,-13063.437663949 252781.406963909,-13063.4842320237 252778.449891161,-13055.5443752753 252778.566311348,-13055.5210912379 252779.427820731,-13054.5198776304 252779.474388806,-13054.4267414808 252781.476816021,-13053.4488119106 252781.476816021,-13053.5652320976 252784.527024918,-13054.4733095556 252784.573592993,-13054.496593593 252788.438743199)))",mamoa
"MULTIPOLYGON (((-13003.5045517189 252821.548644361,-13010.5130469719 252821.478792249,-13010.4897629345 252819.592785221,-13012.4689061123 252819.476365034,-13012.4456220749 252818.521719501,-13014.564469477 252818.475151426,-13014.5179014022 252815.448226566,-13016.5436126548 252815.448226566,-13016.4737605426 252809.417660883,-13013.5632558694 252809.510797033,-13013.522508804 252806.466409145,-13011.5317236075 252806.536261257,-13011.4967975515 252804.493086976,-13004.5115863358 252804.528013032,-13004.4417342237 252803.410379238,-13002.4858750833 252803.445305294,-13002.4858750833 252804.423234864,-13000.5300159429 252804.45816092,-13000.4252377747 252806.448946117,-12999.4123821484 252806.448946117,-12999.4123821484 252807.391949631,-12998.32967441 252807.357023575,-12998.3646004661 252809.557365108,-12999.5520863728 252809.557365108,-12999.3774560924 252811.40844608,-12998.4344525783 252811.338593968,-12998.6090828586 252817.485579837,-12999.4822342606 252817.590358006,-12999.5171603167 252818.53336152,-13002.3810969151 252818.568287576,-13002.4160229712 252820.454294604,-13003.4638046535 252820.419368548,-13003.5045517189 252821.548644361)))",mamoa
"MULTIPOLYGON (((-12947.3725585921 252886.464540592,-12950.5508296952 252886.464540592,-12950.446051527 252884.613459619,-12952.3669846113 252884.438829339,-12952.5066888356 252882.517896255,-12954.497474032 252882.517896255,-12954.5324000881 252879.339625152,-12952.4717627795 252879.549181488,-12952.4717627795 252878.536325862,-12950.5159036391 252878.536325862,-12950.480977583 252877.558396292,-12949.5030480129 252877.558396292,-12949.4681219568 252876.580466721,-12947.4424107043 252876.440762497,-12947.4773367603 252874.554755469,-12945.4865515639 252874.519829413,-12945.4166994517 252875.392980815,-12944.4736959376 252875.497758983,-12944.3689177694 252876.475688553,-12942.3781325729 252876.475688553,-12942.413058629 252877.523470236,-12941.2604987784 252877.418692067,-12941.2954248345 252878.396621638,-12940.4571994886 252878.326769525,-12940.3524213204 252881.574892741,-12939.4443438624 252881.470114572,-12939.3744917502 252885.346906797,-12942.4479846851 252885.381832853,-12947.3900216201 252885.469147993,-12947.3725585921 252886.464540592)))",mamoa
"MULTIPOLYGON (((-13215.5173541315 252934.540256783,-13223.5503470295 252934.365626503,-13223.5503470295 252933.562327213,-13226.5190617961 252933.492475101,-13226.449209684 252924.481552633,-13225.6109843381 252924.481552633,-13225.5062061699 252920.569834352,-13226.5190617961 252920.395204071,-13226.4841357401 252918.369492819,-13225.4363540577 252918.404418875,-13225.3665019456 252917.496341417,-13224.5282765997 252917.496341417,-13224.5282765997 252916.483485791,-13223.5154209734 252916.273929454,-13223.4106428052 252915.365851996,-13218.4511428421 252915.33092594,-13218.3463646739 252914.422848482,-13209.6148506543 252914.562552706,-13209.47514643 252915.540482277,-13207.3446570093 252915.540482277,-13207.3795830653 252917.426489305,-13206.5762837756 252917.496341417,-13206.4016534952 252919.452200557,-13205.3887978689 252919.452200557,-13205.3189457567 252920.360278015,-13204.5156464669 252920.465056184,-13204.550572523 252923.43377095,-13205.423723925 252923.538549118,-13205.3189457567 252925.494408259,-13204.4807204109 252925.529334315,-13204.4457943548 252927.485193455,-13207.3446570093 252927.555045567,-13207.5192872897 252929.371200483,-13209.3703682618 252929.545830764,-13209.5100724861 252931.501689904,-13211.4659316265 252931.466763848,-13211.3960795143 252932.549471587,-13213.5964210472 252932.479619474,-13213.5265689351 252933.31784482,-13215.3077977951 252933.562327213,-13215.5173541315 252934.540256783)))",mamoa
